,intermediate_loss_type,intermediate_strategy,kd_loss_type,best_accuracy
0,mi,EMD,ce,0.7987773815588385
0,cos,EMD,mse,0.7877738155883851
0,pkd,skip,mse,0.7867549668874172
0,ce,last,ce,0.7800305654610291
0,mi,last,mse,0.8123280692817116
0,mi,skip,ce,0.8031584309730005
0,pkd,last,ce,0.7784004075394804
0,ce,EMD,ce,0.7777890983188996
0,mi,skip,mse,0.8133469179826796
0,pkd,EMD,mse,0.7877738155883851
0,mi,EMD,mse,0.7866530820173204
0,mse,skip,ce,0.8062149770759043
0,cos,EMD,ce,0.7777890983188996
0,ce,skip,mse,0.7897096281202242
0,pkd,skip,ce,0.8071319409067753
0,mse,skip,mse,0.7897096281202242
0,cos,last,mse,0.8027508914926134
0,mse,last,ce,0.8031584309730005
0,cos,last,ce,0.7777890983188996
0,ce,last,mse,0.7875700458481916
0,cos,skip,mse,0.7895058583800305
0,mse,last,mse,0.7826795720835455
0,ce,skip,ce,0.8099847172694855
0,pkd,last,mse,0.7880794701986755
0,mi,last,ce,0.8102903718797758
0,mse,EMD,mse,0.7877738155883851
0,ce,EMD,mse,0.7877738155883851
0,pkd,EMD,ce,0.7777890983188996
0,cos,skip,ce,0.7762608252674478
0,mse,EMD,ce,0.7777890983188996
